error_model,detection_outcome,avg_err,diff_vals_count
RANDOM_VALUE,TRUE_POSITIVE,5.61776879346855884781e+193,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.10596795236757961742e+296,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.36818640192803554138e-05,262144
RANDOM_VALUE,TRUE_POSITIVE,1.19630249187794664341e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.35407371093381884870e+161,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.32340733915655052325e-05,32768
RANDOM_VALUE,TRUE_POSITIVE,1.18405070050871693290e+215,16
RANDOM_VALUE,TRUE_POSITIVE,4.49106520648243596651e+278,2
RANDOM_VALUE,TRUE_POSITIVE,8.63799991351350020665e+227,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.75644029135978330743e-05,4694031
RANDOM_VALUE,TRUE_POSITIVE,2.01943513120905771832e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.85704111154929564310e-07,6994798
RANDOM_VALUE,TRUE_POSITIVE,1.10861683704506237130e-03,1024
RANDOM_VALUE,TRUE_POSITIVE,1.91152032595228594917e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.60455232066517804710e-06,1048576
RANDOM_VALUE,TRUE_POSITIVE,1.03811946916152582663e+226,256
RANDOM_VALUE,TRUE_POSITIVE,5.14549741337892098023e-05,8388608
RANDOM_VALUE,TRUE_POSITIVE,2.17549054771451561767e-05,262144
RANDOM_VALUE,TRUE_POSITIVE,2.43804881431023312870e+182,16777216
RANDOM_VALUE,TRUE_POSITIVE,4.59863868465481608626e+156,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.26271886186722179322e-05,524288
RANDOM_VALUE,TRUE_POSITIVE,3.97039653535404685192e-04,32
RANDOM_VALUE,TRUE_POSITIVE,9.20276211459062177041e+210,16777216
RANDOM_VALUE,TRUE_POSITIVE,7.22225805485843855442e+151,64
RANDOM_VALUE,TRUE_POSITIVE,7.30084525734266188323e-06,4194304
RANDOM_VALUE,TRUE_POSITIVE,1.78324878197586506832e+68,16777216
RANDOM_VALUE,TRUE_POSITIVE,9.86257283763754613592e-04,128
RANDOM_VALUE,TRUE_POSITIVE,9.22866061217095083342e-06,8330247
RANDOM_VALUE,TRUE_POSITIVE,9.50952893668227764123e+303,32
RANDOM_VALUE,TRUE_POSITIVE,4.67610256637710448871e+89,16777216
RANDOM_VALUE,TRUE_POSITIVE,5.02708101071577660333e-05,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.48065044265303590879e+111,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.87172788726603817647e-07,7530287
RANDOM_VALUE,TRUE_POSITIVE,6.48607486900356752839e-06,10969547
RANDOM_VALUE,TRUE_POSITIVE,1.17416571287873583440e-02,4
RANDOM_VALUE,TRUE_POSITIVE,1.03011549608068294670e+194,16777216
RANDOM_VALUE,TRUE_POSITIVE,3.73897823214916306119e+66,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.65459332060040931337e+98,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.03907705534902816773e+67,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.78349506191610085898e+211,16777216
RANDOM_VALUE,TRUE_POSITIVE,8.85425718818770144224e-07,7615416
RANDOM_VALUE,TRUE_POSITIVE,6.45088862529957229874e-02,2
RANDOM_VALUE,TRUE_POSITIVE,1.68775620519030905113e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.49862451607371821694e-06,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.68028810568447606313e+255,16777216
RANDOM_VALUE,TRUE_POSITIVE,6.88090082150953116035e+292,16777216
RANDOM_VALUE,TRUE_POSITIVE,2.54707320909914857496e+161,16777216
RANDOM_VALUE,TRUE_POSITIVE,1.89167152232585275128e-04,2048
RANDOM_VALUE,TRUE_POSITIVE,3.04463747493925740439e-04,16
