==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 2.10512043382537329678e+153; MIN: 1.11978208798453514312e+153; AVG: 1.45123907159263571342e+153
    * MAX: 9.92800677601627328089e+212; MIN: 1.00000000000000000000e+00; AVG: 2.32590247421188581719e+211
    * MAX: 2.86034120300371341727e-06; MIN: 1.52150860044386604386e-06; AVG: 1.97187716448050684388e-06
    * MAX: 1.45573300610152856110e+31; MIN: 1.00000000000000000000e+00; AVG: 7.84892240890998190978e+26
    * MAX: 6.74662762345231939498e+293; MIN: 1.00000000000000000000e+00; AVG: 9.62950722408207824899e+288
    * MAX: 5.59649145016005711284e-03; MIN: 1.11022302462515654042e-16; AVG: 7.54777032532097964406e-08
    * MAX: 4.98781984759055774248e-05; MIN: 1.22945247760242182267e-07; AVG: 1.40893985779374685056e-05
    * MAX: 3.33104342341683512529e-04; MIN: 1.11022302462515654042e-16; AVG: 2.23511005835137960724e-06
    * MAX: 3.42967986681693475048e+231; MIN: 2.30002477001533766918e+231; AVG: 2.81155287068979856151e+231
    * MAX: 5.75200827838123868160e+19; MIN: 4.28605506242118615040e+19; AVG: 4.94967999009373962240e+19
    * MAX: 3.33878150784071681070e+141; MIN: 1.78912221919447241597e+141; AVG: 2.30082746794140090156e+141
    * MAX: 2.83606644968514842731e-06; MIN: 1.14409478224608562869e-07; AVG: 9.01328401999302109487e-07
    * MAX: 2.55278181824469818650e-04; MIN: 1.11022302462515654042e-16; AVG: 1.24189610945909940763e-05
    * MAX: 9.10418149243865805830e+91; MIN: 1.00000000000000000000e+00; AVG: 4.31734820353551426299e+90
    * MAX: 1.61767631492448771269e-05; MIN: 1.00738178747672435520e-05; AVG: 1.23425464772003562453e-05
    * MAX: 8.91904727948156228479e-03; MIN: 1.11022302462515654042e-16; AVG: 1.68804697741412591950e-07
    * MAX: 4.54249061591030508280e+07; MIN: 1.29662204883345452799e+02; AVG: 6.99108804016522131860e+06
    * MAX: 3.05418242663453334428e+284; MIN: 3.05013441739321048777e+284; AVG: 3.05215842201387191602e+284
    * MAX: 2.91632165049771074905e-03; MIN: 2.14205626768193546638e-03; AVG: 2.48150147248583832077e-03
    * MAX: 1.66647696999033811949e-04; MIN: 1.11022302462515654042e-16; AVG: 2.27290915624345061814e-05
    * MAX: 9.27805375816603827843e-06; MIN: 4.93529882805709974036e-06; AVG: 6.39615382855718723885e-06
    * MAX: 3.44194964571098880184e+45; MIN: 2.03049378239895587585e+45; AVG: 2.56493368648170538403e+45
    * MAX: 1.01988387500306920685e-04; MIN: 1.11022302462515654042e-16; AVG: 1.65054915580073605704e-05
    * MAX: 6.77082965938602399092e-05; MIN: 1.11022302462515654042e-16; AVG: 3.53149034929093339277e-06
    * MAX: 6.68506878960940013092e+25; MIN: 1.00000000000000000000e+00; AVG: 4.09165001460010360766e+23
    * MAX: 1.33597261581504824450e+225; MIN: 3.62858770161628434778e+219; AVG: 2.09613657834238781149e+224
    * MAX: 5.62429852338408862640e+271; MIN: 6.43786806032387186790e+267; AVG: 8.09277150253538873000e+270
    * MAX: 9.59800191861972302306e+233; MIN: 6.35854582388107798108e+226; AVG: 1.65168909200333522876e+233
    * MAX: 2.40627187483851072440e+79; MIN: 2.62188663025236238887e+78; AVG: 7.41823355330882269565e+78
    * MAX: 1.34333457861124361100e+32; MIN: 6.22251545687870743572e+29; AVG: 3.81410808517461927962e+31
    * MAX: 1.23246417960132248481e-06; MIN: 2.86631919199642481999e-07; AVG: 6.12681265150743688139e-07
    * MAX: 3.02532867661623010795e+230; MIN: 1.00000000000000000000e+00; AVG: 1.21926880914322652541e+227
    * MAX: 1.12771662497546110160e-03; MIN: 7.61551539227522944486e-04; AVG: 9.27184725203422871811e-04
    * MAX: 1.27326941565295978803e+271; MIN: 1.00000000000000000000e+00; AVG: 1.79364042604061859404e+266
    * MAX: 1.03521861082712862689e+00; MIN: 9.73695692072044094445e-01; AVG: 1.00050243461379384513e+00
    * MAX: 1.03797410445269423255e+132; MIN: 1.00000000000000000000e+00; AVG: 3.01982670429018003393e+129
    * MAX: 5.52714787618313607709e-04; MIN: 1.11022302462515654042e-16; AVG: 9.38799192662895762837e-07
    * MAX: 3.04487388667140621813e+84; MIN: 7.86093652104058684459e+80; AVG: 6.40285543864649535366e+83
    * MAX: 8.65807986041426515719e+228; MIN: 4.60551452935817376843e+228; AVG: 5.96875293997768686941e+228
    * MAX: 2.41648487202848151603e+42; MIN: 1.00000000000000000000e+00; AVG: 6.54753110111449563358e+37
    * MAX: 4.39836911591557698161e+293; MIN: 2.33963571547147019890e+293; AVG: 3.03217099114068039746e+293
    * MAX: 1.18115733478678416112e+254; MIN: 3.03332690208842029620e+250; AVG: 4.46856747838495436434e+253
    * MAX: 1.25350473467492762993e+257; MIN: 8.64989534476241363680e+256; AVG: 1.03188486092804144456e+257
    * MAX: 5.17650194277060942655e+268; MIN: 4.60654712861868215030e+268; AVG: 4.77527916921770911704e+268
    * MAX: 1.13129172557324766854e+235; MIN: 9.99452339398792875642e+234; AVG: 1.07684567265119971351e+235
    * MAX: 1.63120120571103033313e-03; MIN: 1.11022302462515654042e-16; AVG: 7.55992956085041589568e-07
    * MAX: 1.10631190275434221348e-06; MIN: 5.88483315522303485068e-07; AVG: 7.62675157555562986402e-07
    * MAX: 6.84053291164239163585e+74; MIN: 3.63870213962364812747e+74; AVG: 4.71576280025465779870e+74
    * MAX: 9.66922851743934330671e-05; MIN: 5.85072794601071421994e-05; AVG: 7.30513769572318160620e-05
    * MAX: 3.05531370112799294247e-05; MIN: 1.11022302462515654042e-16; AVG: 4.77886824381494500555e-06
    * MAX: 7.96852963584046031042e+296; MIN: 2.01078529169180772736e+296; AVG: 4.03465085275461346690e+296
    * MAX: 1.09461472885818977829e-06; MIN: 1.11022302462515654042e-16; AVG: 3.12859540031896464204e-08
    * MAX: 2.82535109215075112877e+136; MIN: 1.97343974022521020229e+136; AVG: 2.33670683867899957188e+136
    * MAX: 4.39326450502042220592e-05; MIN: 1.11022302462515654042e-16; AVG: 7.92062413403644751948e-06
    * MAX: 5.59135518019474912790e+65; MIN: 9.91196483940029016700e+64; AVG: 2.56959382640596930317e+65
    * MAX: 2.21298498782689070104e+180; MIN: 3.01440077276913933724e+179; AVG: 1.05428571648906937755e+180
    * MAX: 9.48150348450779005818e+179; MIN: 6.95203519323008178773e+179; AVG: 7.95232065175319108404e+179
    * MAX: 3.03885283412526045044e+79; MIN: 1.61646474804813194022e+79; AVG: 2.09494045796136970365e+79
    * MAX: 3.53715363619055978006e-05; MIN: 2.01462058870838234270e-05; AVG: 2.55838184934992164590e-05
    * MAX: 1.25639340632144325127e-04; MIN: 1.11022302462515654042e-16; AVG: 3.03305161316004723873e-06
    * MAX: 3.71060101161280186943e-04; MIN: 1.11022302462515654042e-16; AVG: 8.87785386557482862846e-08
    * MAX: 8.53092559326965786118e+86; MIN: 2.16892397391158229068e+81; AVG: 1.29409051026338191426e+86
    * MAX: 2.43408513313147363619e+167; MIN: 2.06071362738439354429e+164; AVG: 3.75893291163008868143e+166
    * MAX: 2.05004034112530198999e+203; MIN: 1.27470560874925687491e+203; AVG: 1.58937157368940895905e+203
    * MAX: 1.01464580724908159937e-04; MIN: 6.96339345345187155090e-05; AVG: 8.12627414889609115713e-05
    * MAX: 1.76592213252391161404e-06; MIN: 9.79286550295555002776e-07; AVG: 1.25857789746668898100e-06
    * MAX: 1.52044742364187968064e-05; MIN: 8.08775480654055911600e-06; AVG: 1.04817409589731414123e-05
    * MAX: 2.32261667876265676114e-06; MIN: 1.23547542085766792752e-06; AVG: 1.60117778464447825617e-06
    * MAX: 4.50647323556788762869e+166; MIN: 4.27913925555270952555e+164; AVG: 1.70573269100679920161e+166
    * MAX: 1.73616635258854020530e+271; MIN: 1.00000000000000000000e+00; AVG: 1.23071619462681586461e+266
    * MAX: 1.29881792824582120716e-04; MIN: 1.11022302462515654042e-16; AVG: 6.95169853554819311067e-06
    * MAX: 2.18711209184707655595e-04; MIN: 1.46088425631241136671e-04; AVG: 1.77949954798651925874e-04
    * MAX: 2.26945275262883353853e+108; MIN: 1.50658313911873182782e+108; AVG: 1.80685627412839940899e+108
    * MAX: 1.61508347190213683366e+158; MIN: 1.00949183072291009039e+158; AVG: 1.24123415581302429683e+158
    * MAX: 1.78586083863849307052e+24; MIN: 3.53844236433467572224e+20; AVG: 2.98270905597594712408e+23
    * MAX: 3.12234690912184301443e+174; MIN: 1.42399140902055676243e+171; AVG: 6.78113604385685902996e+173
    * MAX: 7.25092627949841528334e-04; MIN: 3.85700373176534050401e-04; AVG: 4.99868195328056889350e-04
    * MAX: 1.30854069005713656718e+52; MIN: 8.84938079890223873965e+51; AVG: 1.05864013384536645051e+52
    * MAX: 1.60083424868666715344e+133; MIN: 8.04950423743860138088e+125; AVG: 3.19180178822347875764e+132
    * MAX: 1.64688333514858166390e+53; MIN: 6.56108956994658388436e+48; AVG: 2.46937826274465598418e+52
    * MAX: 2.04755820803468930893e+135; MIN: 1.11325456124980366382e+134; AVG: 7.26790227161061926461e+134
    * MAX: 8.72089402459552687219e-03; MIN: 7.19304697732903175478e-03; AVG: 7.94103513317365172774e-03
    * MAX: 1.82419306122838520423e-05; MIN: 9.29984148911877639421e-07; AVG: 4.88014520531541098636e-06
    * MAX: 4.35524575292944859939e-07; MIN: 2.31669699424230657314e-07; AVG: 3.00244237875540116878e-07
    * MAX: 1.81612665426724343827e+174; MIN: 8.08571629481520112482e+166; AVG: 4.77958389138570289580e+173
    * MAX: 1.37775088190037518289e+235; MIN: 2.31799083742418756989e+228; AVG: 2.08945470141224370677e+234
    * MAX: 1.62270897073896764346e+219; MIN: 1.47814315846630677002e+214; AVG: 2.48300050199051295416e+218
    * MAX: 6.84436623981099501179e-05; MIN: 3.73293828348497669367e-06; AVG: 2.92695156213510668892e-05
