==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 7.79863427391447316950e-07; MIN: 4.12170704011671773515e-07; AVG: 5.36211278591354767295e-07
    * MAX: 2.99511925919704324883e-05; MIN: 1.59320143584551487947e-05; AVG: 2.06479117449418950831e-05
    * MAX: 6.68202511051596559355e-05; MIN: 5.32151988263951380986e-05; AVG: 5.93722522798986046544e-05
    * MAX: 4.04777088812975360810e-02; MIN: 3.85069908119721748818e-02; AVG: 3.90721214706927222338e-02
    * MAX: 6.75678795547529631449e-05; MIN: 9.01484780158057219523e-08; AVG: 1.70945996174878430925e-05
    * MAX: 1.28916057166228448239e-03; MIN: 1.11022302462515654042e-16; AVG: 8.15056636702427158638e-08
    * MAX: 2.14300250049870300018e-04; MIN: 1.47971782936129336861e-04; AVG: 1.74443667151517932488e-04
    * MAX: 2.18742308993880030243e-04; MIN: 1.57152286946349306618e-04; AVG: 1.84821525978632987541e-04
    * MAX: 6.02025645779491469511e-07; MIN: 1.11022302462515654042e-16; AVG: 8.73333870372083040118e-09
    * MAX: 2.65174781079202039109e+04; MIN: 2.87048389925646415577e+03; AVG: 1.10004485595665155415e+04
    * MAX: 5.81873266651860394632e+04; MIN: 1.30038215811569625657e+03; AVG: 1.56427219117082840967e+04
    * MAX: 8.35179583269507475052e-08; MIN: 1.11022302462515654042e-16; AVG: 2.18088009196828798057e-08
    * MAX: 1.03482023925306115366e+34; MIN: 4.79775716014181627346e+32; AVG: 4.17657045743587366100e+33
    * MAX: 4.24000153212089614385e-04; MIN: 2.88617789837797289465e-04; AVG: 3.38036389491954368785e-04
    * MAX: 5.88427004233338379890e-07; MIN: 1.11022302462515654042e-16; AVG: 5.89905005930326687853e-10
    * MAX: 1.96527674547652964065e-03; MIN: 1.73830153277787502475e-03; AVG: 1.86004653295199218199e-03
    * MAX: 4.07450551076493638902e-08; MIN: 3.54234419575050196727e-11; AVG: 1.49520808806780748126e-08
    * MAX: 1.60337612720162780988e-06; MIN: 1.86781701216887086048e-08; AVG: 3.69918287965000813635e-07
    * MAX: 2.04726351582529275674e-06; MIN: 2.24118890113089719307e-09; AVG: 4.86145542395302676955e-07
