benchmark,error_model,detection_outcome,relative_sum
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,338.804993942827
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2989627452982795
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1352236411341439
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,320.699893968919
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.6824950541938095
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.657585841053507e+228
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,431.6356076584972
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.70291794140074
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.090367157622668e+189
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.715235451840976e+163
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,27.59180346650642
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.012705268913132953
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.5439672779310365e+218
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.622245155109403e+153
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,30.621964466253356
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.9917949996945995e+75
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.1262409323217606
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,76.87702237855521
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.0430492597383296e+305
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.845198279426303e+96
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,843.4042396627691
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.4841192296885596e+118
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.4094648177016913
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,71.14930312105349
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.04696662851514944
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.7282470182692777e+201
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.272964542006465e+73
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.453668553187031e+105
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.74328201982346e+74
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.66992978886998e+218
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.742885185903961
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.12901777250599145
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,28.315850409818136
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,41.91996320906424
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1207663649129935e+263
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.154423593570429e+300
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.273279739686959e+168
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.3874143277723346
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.004871419959902811
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.5403588482027632e+214
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.867848543178961e+123
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1575698691672325e+58
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.0565511900805395
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.91033821657759e+24
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,7.678663465696751
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.2694935689059421
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,25.983662772225134
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.3070084150525847e+123
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,4.028182841508161e+102
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,6.323048003096054e+134
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,8.263860836068678e+99
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.5796008322982083e+165
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,5.053214233203742e+210
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.2915987731813122e+135
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,9.137540852574328e+136
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,0.13052011958704035
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,62.16030109108474
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,2.1679122803108908e+80
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.311871573975124
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.122864042551759e+263
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.2931076266137599e+216
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.3307336483090618e+22
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,383.2976253672152
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,26.021848033544643
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,3.178829256593639e+144
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.3538037035047232
fastWalshTransform,RANDOM_VALUE,TRUE_POSITIVE,1.1030338710375861e+148
