==========================================================================
=== Magnitude of the SDCs (relative errors) ==============================
==========================================================================
> TRUE_POSITIVE
    * MAX: 1.76381527643432178820e-05; MIN: 1.05075035602419930569e-05; AVG: 1.32391711911169528203e-05
    * MAX: 4.24182133907535785511e-03; MIN: 4.06572607748467707012e-03; AVG: 4.17041591936426203624e-03
    * MAX: 4.68253994356793157294e-06; MIN: 2.50701417714438434814e-06; AVG: 3.24922862199069620634e-06
    * MAX: 6.29586311529095610240e-07; MIN: 1.11022302462515654042e-16; AVG: 3.94935447131646008850e-08
    * MAX: 6.50962321606507465788e-03; MIN: 1.53316502826683631611e-08; AVG: 9.26760113869779487972e-04
    * MAX: 4.69093103844396442991e+148; MIN: 2.50616728512141960220e+148; AVG: 3.23372458862324397854e+148
    * MAX: 1.41922393335214280796e-04; MIN: 1.11022302462515654042e-16; AVG: 1.50860011881527327527e-08
    * MAX: 1.32626829170146010028e-05; MIN: 1.11022302462515654042e-16; AVG: 6.99350783211384043808e-09
    * MAX: 1.88247400363383832200e-05; MIN: 1.11022302462515654042e-16; AVG: 2.69649317746129558321e-07
    * MAX: 1.16412218129635647301e-05; MIN: 1.13999407449494327693e-05; AVG: 1.15048095002678874010e-05
    * MAX: 3.17077012729283236325e-03; MIN: 2.97266541904994685552e-03; AVG: 3.08109144726498307421e-03
    * MAX: 1.27901902178417792300e-03; MIN: 1.15527286939443030178e-03; AVG: 1.21627666277689117091e-03
    * MAX: 2.14420791366798368927e-06; MIN: 9.80721481802504513325e-09; AVG: 6.03977532550313050786e-07
    * MAX: 2.16508785659152991343e-04; MIN: 1.49958400597949292887e-04; AVG: 1.78153530021307781109e-04
    * MAX: 1.41746099064699038195e-04; MIN: 1.11022302462515654042e-16; AVG: 5.34174783267192954055e-07
    * MAX: 3.85989909879036474649e-06; MIN: 2.37392955027004859403e-06; AVG: 2.93769970641685778233e-06
    * MAX: 1.51220495195562417597e+111; MIN: 4.27843869128458621022e+109; AVG: 3.38042057075401581376e+110
    * MAX: 1.67153999153235588437e-06; MIN: 8.95321894178735533387e-07; AVG: 1.15219905131396081466e-06
    * MAX: 3.60736084841217774510e-05; MIN: 1.93136735577859042223e-05; AVG: 2.50315859767531377850e-05
    * MAX: 3.29189725568612701068e-05; MIN: 1.11022302462515654042e-16; AVG: 5.25437694913501807191e-06
    * MAX: 5.28796231802353133844e-07; MIN: 1.11022302462515654042e-16; AVG: 6.20399389179683146001e-11
    * MAX: 6.94177097360082484556e-07; MIN: 4.23899434220942339380e-07; AVG: 5.29634063744923529096e-07
    * MAX: 5.53265124906276994921e-05; MIN: 3.56944618398191693132e-05; AVG: 4.30579367892802808860e-05
    * MAX: 1.43130252251990608414e-02; MIN: 2.38396891116821052492e-09; AVG: 1.85159028079255952304e-03
    * MAX: 2.76917496326856138467e-05; MIN: 2.17024202893156825667e-05; AVG: 2.45618586255987730871e-05
    * MAX: 6.16800344471046813055e-03; MIN: 5.80188066228659593548e-03; AVG: 5.96654140127633736412e-03
    * MAX: 4.42915215889203238930e+02; MIN: 1.21809927390875305520e+01; AVG: 9.80436303979317074209e+01
    * MAX: 4.81145298969476442608e-06; MIN: 1.11022302462515654042e-16; AVG: 1.70723818769730155103e-08
    * MAX: 2.42866570796751446437e-04; MIN: 1.29188635186183731207e-04; AVG: 1.67428642590059515490e-04
    * MAX: 6.65795178989014857507e-08; MIN: 3.55706379906450820272e-08; AVG: 4.58970346006045615790e-08
    * MAX: 3.45743076635152135623e-06; MIN: 1.11022302462515654042e-16; AVG: 6.78544887170977126759e-09
    * MAX: 7.32430955363572167016e-06; MIN: 1.46363606789989830759e-07; AVG: 2.13583157666863736055e-06
    * MAX: 5.94097133137516664192e-05; MIN: 3.69828134937355557099e-05; AVG: 4.60268518843714579281e-05
    * MAX: 7.57262306194661505288e-08; MIN: 3.32616598708312949384e-08; AVG: 4.77162923493702094663e-08
    * MAX: 6.54849739464002933431e-03; MIN: 3.63745922271618837840e-10; AVG: 9.20743608166746580791e-04
    * MAX: 3.90972854509730183281e-04; MIN: 2.95527066632828017134e-04; AVG: 3.39114054547029984948e-04
    * MAX: 1.43990114338743424582e-04; MIN: 1.05379238669156549690e-04; AVG: 1.23405622961308882729e-04
    * MAX: 5.59677120408608175239e-05; MIN: 3.46041240404382222096e-05; AVG: 4.27893710032612475903e-05
    * MAX: 1.38334086923208587905e-05; MIN: 8.06296485134083695812e-09; AVG: 2.32433338171006284039e-06
    * MAX: 3.16100689295228942655e-03; MIN: 2.86175035814340006368e-03; AVG: 2.99697057919017656458e-03
    * MAX: 2.61707161586244296814e-06; MIN: 1.58644404346652834192e-06; AVG: 1.96672388058646228351e-06
    * MAX: 7.35259435715729381400e-05; MIN: 4.06480437720180276528e-06; AVG: 3.18446431609696205050e-05
    * MAX: 1.63031442790284586408e-07; MIN: 9.71220448509058087438e-08; AVG: 1.22371158095153426525e-07
    * MAX: 1.18118947203260660217e-05; MIN: 3.63310589590604138266e-06; AVG: 6.44210721786384394634e-06
    * MAX: 4.52667825445729476996e-07; MIN: 1.11022302462515654042e-16; AVG: 7.01511344689234700816e-09
    * MAX: 7.90492313167301396959e-04; MIN: 6.75910013319125368980e-04; AVG: 7.36399662789108747085e-04
    * MAX: 2.99524908209392037861e-06; MIN: 4.08017189812426295248e-07; AVG: 1.44468218563560672248e-06
    * MAX: 1.00059011489076750150e+152; MIN: 9.17086015916402410210e+151; AVG: 9.72971813959097223940e+151
    * MAX: 3.89723258091834168226e-05; MIN: 2.62110028993456367630e-05; AVG: 3.14261878091184567634e-05
    * MAX: 2.31624730595569872094e-06; MIN: 5.17639638930589285337e-08; AVG: 6.22685635597060892693e-07
